time,open,high,low,close,volume
2025-09-01T14:23:00.000Z,1439800,1439850,1439150,1439550,1993
2025-09-01T14:24:00.000Z,1439550,1439750,1439450,1439550,998
2025-09-01T14:25:00.000Z,1439550,1439700,1439300,1439500,1181
2025-09-01T14:26:00.000Z,1439450,1439500,1438900,1439050,2110
2025-09-01T14:27:00.000Z,1439000,1439300,1438850,1439250,1436
2025-09-01T14:28:00.000Z,1439250,1439400,1439050,1439350,941
2025-09-01T14:29:00.000Z,1439350,1439600,1439350,1439450,1050
2025-09-01T14:30:00.000Z,1439450,1439650,1439350,1439600,1229
2025-09-01T14:31:00.000Z,1439600,1439750,1439300,1439650,1079
2025-09-01T14:32:00.000Z,1439700,1439700,1439200,1439350,1376
2025-09-01T14:33:00.000Z,1439300,1439450,1439050,1439400,1173
2025-09-01T14:34:00.000Z,1439400,1439400,1438750,1439000,2384
2025-09-01T14:35:00.000Z,1439000,1439050,1438750,1438950,3454
2025-09-01T14:36:00.000Z,1438900,1439200,1438900,1439150,1486
2025-09-01T14:37:00.000Z,1439100,1439400,1438750,1438850,1394
2025-09-01T14:38:00.000Z,1438800,1439050,1437850,1438050,5783
2025-09-01T14:39:00.000Z,1438050,1438350,1437650,1438250,4242
2025-09-01T14:40:00.000Z,1438250,1438500,1438050,1438250,3305
2025-09-01T14:41:00.000Z,1438200,1438300,1437650,1437900,2177
2025-09-01T14:42:00.000Z,1437850,1437850,1436550,1437100,9342
2025-09-01T14:43:00.000Z,1437100,1437250,1436500,1436750,3965
2025-09-01T14:44:00.000Z,1436700,1437100,1436650,1436850,2662
2025-09-01T14:45:00.000Z,1436900,1437050,1435100,1435700,12595
2025-09-01T14:46:00.000Z,1435700,1435850,1435050,1435450,4278
2025-09-01T14:47:00.000Z,1435450,1435750,1435000,1435450,3524
2025-09-01T14:48:00.000Z,1435400,1436200,1435250,1436000,3806
2025-09-01T14:49:00.000Z,1436000,1436000,1435400,1435900,2990
2025-09-01T14:50:00.000Z,1435850,1435900,1435350,1435450,3118
2025-09-01T14:51:00.000Z,1435450,1436700,1435450,1436150,4728
2025-09-01T14:52:00.000Z,1436200,1436300,1435850,1436050,2125
2025-09-01T14:53:00.000Z,1436000,1436250,1435500,1435700,2505
2025-09-01T14:54:00.000Z,1435650,1435950,1435450,1435750,1609
2025-09-01T14:55:00.000Z,1435750,1436000,1435700,1436000,1251
2025-09-01T14:56:00.000Z,1435950,1436000,1434650,1435050,6208
2025-09-01T14:57:00.000Z,1435050,1435650,1434900,1435450,3318
2025-09-01T14:58:00.000Z,1435400,1435450,1434700,1435050,2736
2025-09-01T14:59:00.000Z,1435000,1435550,1434950,1435550,2115
2025-09-01T15:00:00.000Z,1435500,1435600,1435100,1435300,3264
2025-09-01T15:01:00.000Z,1435350,1435400,1435050,1435350,1365
2025-09-01T15:02:00.000Z,1435400,1435400,1434800,1434950,2321
2025-09-01T15:03:00.000Z,1434950,1435350,1434750,1435050,2044
2025-09-01T15:04:00.000Z,1435000,1435100,1434550,1434900,2930
2025-09-01T15:05:00.000Z,1434950,1434950,1434100,1434150,5522
2025-09-01T15:06:00.000Z,1434150,1434250,1433300,1433500,7206
2025-09-01T15:07:00.000Z,1433450,1433550,1432800,1433350,5186
2025-09-01T15:08:00.000Z,1433300,1433700,1433250,1433400,2557
2025-09-01T15:09:00.000Z,1433450,1433850,1433350,1433550,2406
2025-09-01T15:10:00.000Z,1433550,1433650,1433150,1433450,2517
2025-09-01T15:11:00.000Z,1433450,1433750,1433300,1433700,1509
2025-09-01T15:12:00.000Z,1433700,1433800,1433550,1433700,1392
2025-09-01T15:13:00.000Z,1433650,1433950,1433400,1433900,1694
2025-09-01T15:14:00.000Z,1433900,1434600,1433850,1434350,4333
2025-09-01T15:15:00.000Z,1434400,1434400,1433850,1433850,3024
2025-09-01T15:16:00.000Z,1433850,1434100,1433700,1433950,1807
2025-09-01T15:17:00.000Z,1434000,1434100,1433400,1433550,2078
2025-09-01T15:18:00.000Z,1433600,1433600,1433050,1433450,2888
2025-09-01T15:19:00.000Z,1433400,1433850,1433400,1433700,1820
2025-09-01T15:20:00.000Z,1433750,1434000,1433400,1433550,1990
2025-09-01T15:21:00.000Z,1433600,1433750,1433500,1433550,836
2025-09-01T15:22:00.000Z,1433550,1433700,1433450,1433650,698
2025-09-01T15:23:00.000Z,1433600,1434350,1433600,1434050,2716
2025-09-01T15:24:00.000Z,1434050,1434200,1433950,1434150,1153
2025-09-01T15:25:00.000Z,1434200,1434250,1433600,1433600,1443
2025-09-01T15:26:00.000Z,1433600,1433900,1433500,1433650,1594
2025-09-01T15:27:00.000Z,1433700,1434050,1433650,1434000,983
2025-09-01T15:28:00.000Z,1434000,1434800,1433800,1434650,3330
2025-09-01T15:29:00.000Z,1434600,1434600,1434250,1434350,1788
2025-09-01T15:30:00.000Z,1434350,1434700,1434050,1434200,2783
2025-09-01T15:31:00.000Z,1434250,1434350,1434050,1434250,1062
